Rk;Team;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Year
15;Chicago Bulls*;82;2415;421;843;.500;4;20;.180;418;823;.507;242;308;.784;131;289;420;243;76;57;178;253;1087;1985
16;Cleveland Cavaliers*;82;2412;423;898;.471;12;41;.287;411;857;.480;228;304;.749;147;298;445;256;76;58;169;265;1086;1985
17;Indiana Pacers;82;2412;425;893;.476;4;19;.194;422;874;.482;228;307;.744;146;320;466;237;76;45;198;273;1083;1985
18;Phoenix Suns*;82;2415;428;871;.491;11;37;.283;417;834;.500;214;278;.771;125;296;421;285;89;43;193;248;1080;1985
19;Los Angeles Clippers;82;2406;430;868;.495;7;23;.298;423;845;.501;204;269;.758;142;297;439;236;65;61;194;224;1071;1985
20;Atlanta Hawks;82;2421;420;868;.484;9;29;.311;411;840;.490;217;289;.752;142;286;428;245;81;66;180;250;1066;1985
21;Washington Bullets*;82;2421;431;900;.479;13;49;.274;418;852;.490;180;243;.743;123;292;415;255;86;48;156;228;1055;1985
22;New York Knicks;82;2418;419;866;.484;6;24;.258;413;842;.490;208;287;.726;136;256;392;244;92;33;178;292;1052;1985
23;Seattle SuperSonics;82;2403;400;843;.474;5;23;.243;394;820;.481;217;281;.771;124;279;403;266;79;42;182;241;1021;1985
1;Los Angeles Lakers*;82;2418;468;895;.522;17;50;.337;451;846;.533;221;284;.778;134;312;446;297;85;51;179;248;1173;1986
2;Dallas Mavericks*;82;2415;443;885;.501;17;54;.316;426;830;.513;250;322;.776;129;299;428;257;74;45;157;211;1153;1986
3;Portland Trail Blazers*;82;2421;440;888;.496;9;34;.269;431;854;.505;261;341;.765;141;282;423;266;105;43;186;269;1151;1986
4;Denver Nuggets*;82;2409;452;960;.471;9;37;.233;443;922;.480;235;295;.798;149;283;432;261;101;51;163;264;1148;1986
5;Milwaukee Bucks*;82;2415;439;891;.493;15;47;.327;424;845;.502;252;329;.764;145;295;440;263;98;56;167;270;1145;1986
6;Houston Rockets*;82;2409;458;935;.490;10;38;.274;448;898;.499;217;297;.730;160;297;457;283;91;67;168;243;1144;1986
7;Detroit Pistons*;82;2412;458;945;.484;7;22;.302;451;923;.489;220;280;.783;156;300;456;283;90;41;164;256;1142;1986
8;Boston Celtics*;82;2421;453;892;.508;17;48;.351;437;844;.517;218;274;.794;129;336;464;291;78;62;166;214;1141;1986
9;Golden State Warriors;82;2412;445;923;.482;11;34;.313;435;889;.489;233;307;.760;155;286;441;246;92;43;171;248;1134;1986
10;San Antonio Spurs*;82;2415;439;866;.506;6;24;.235;433;842;.514;230;308;.746;130;294;425;276;98;48;198;258;1112;1986
11;Philadelphia 76ers*;82;2427;419;861;.487;6;27;.228;413;833;.495;260;343;.758;162;290;452;246;105;60;195;219;1104;1986
12;Phoenix Suns;82;2415;429;853;.503;5;22;.208;424;830;.511;238;327;.726;126;299;425;277;94;46;215;276;1100;1986
13;Chicago Bulls*;82;2421;424;881;.481;11;39;.278;413;843;.490;234;305;.769;156;278;434;245;74;49;175;264;1093;1986
14;New Jersey Nets*;82;2415;433;890;.486;5;26;.201;427;864;.495;221;292;.755;144;303;447;260;91;42;192;260;1091;1986
15;Sacramento Kings*;82;2412;431;880;.490;4;16;.224;428;864;.495;222;285;.778;138;290;428;281;73;47;187;260;1088;1986
16;Los Angeles Clippers;82;2409;413;874;.473;8;28;.279;405;846;.479;252;327;.770;141;275;417;240;85;61;184;235;1086;1986
17;Atlanta Hawks*;82;2415;420;857;.490;4;20;.199;416;837;.497;241;330;.732;152;293;446;247;90;53;181;265;1086;1986
18;Utah Jazz*;82;2412;421;864;.488;4;21;.207;417;843;.494;235;329;.716;130;302;433;268;87;81;185;249;1082;1986
19;Cleveland Cavaliers;82;2412;424;883;.480;16;48;.338;408;835;.489;213;284;.752;132;299;432;252;76;53;172;276;1078;1986
20;Seattle SuperSonics;82;2430;407;861;.472;10;37;.263;397;824;.482;221;284;.779;140;275;415;241;91;36;175;264;1044;1986
21;Indiana Pacers;82;2409;420;872;.481;3;17;.161;417;855;.488;197;266;.739;139;319;457;263;80;46;185;260;1039;1986
22;Washington Bullets*;82;2421;404;872;.463;14;50;.284;390;822;.474;208;279;.745;130;297;427;213;76;87;164;219;1030;1986
23;New York Knicks;82;2415;395;858;.460;10;29;.343;385;829;.465;187;273;.686;132;265;396;229;87;38;175;270;987;1986
1;Portland Trail Blazers*;82;2415;445;884;.504;12;41;.289;433;843;.514;277;357;.775;144;294;438;288;94;47;189;254;1179;1987
2;Los Angeles Lakers*;82;2406;456;884;.516;20;55;.367;436;829;.526;245;311;.789;137;307;444;296;89;59;166;226;1178;1987
3;Denver Nuggets*;82;2412;457;970;.471;13;48;.271;444;922;.481;241;313;.769;158;289;447;283;92;51;148;266;1167;1987
4;Dallas Mavericks*;82;2424;438;899;.487;28;80;.354;410;820;.500;262;331;.791;149;304;453;246;84;52;147;228;1167;1987
5;Seattle SuperSonics*;82;2421;438;909;.482;23;70;.335;415;839;.494;238;314;.758;167;292;460;266;86;55;184;271;1137;1987
6;Boston Celtics*;82;2415;445;860;.517;25;69;.366;419;791;.530;212;263;.808;114;315;429;295;68;64;159;209;1126;1987
7;Golden State Warriors*;82;2427;433;904;.479;14;44;.319;419;860;.487;240;308;.780;145;287;432;254;87;39;165;261;1120;1987
8;Detroit Pistons*;82;2418;432;883;.490;5;21;.231;427;862;.496;243;317;.765;152;323;475;246;78;53;173;253;1112;1987
9;Phoenix Suns;82;2421;436;877;.497;7;31;.242;429;846;.506;232;305;.760;136;289;424;287;86;48;183;250;1111;1987
10;Sacramento Kings;82;2412;430;904;.475;9;37;.251;420;867;.485;241;302;.796;156;298;454;266;63;48;171;245;1109;1987
11;Milwaukee Bucks*;82;2412;422;888;.475;23;70;.323;399;818;.488;238;311;.766;136;283;420;249;103;48;154;266;1104;1987
12;Atlanta Hawks*;82;2406;419;871;.481;16;52;.318;402;819;.491;246;325;.759;165;302;467;253;85;62;156;262;1100;1987
13;New Jersey Nets;82;2421;411;864;.476;18;55;.323;394;809;.487;244;318;.767;143;294;436;243;78;48;197;287;1085;1987
14;San Antonio Spurs;82;2415;431;909;.474;14;49;.290;416;860;.484;207;280;.742;157;286;443;271;96;40;171;235;1083;1987
15;Utah Jazz*;82;2409;425;916;.464;17;55;.310;408;862;.474;212;291;.726;146;300;445;273;102;77;171;249;1079;1987
16;Houston Rockets*;82;2412;423;886;.477;11;40;.275;412;846;.487;213;287;.741;145;303;448;272;80;68;169;241;1069;1987
17;Philadelphia 76ers*;82;2424;407;828;.491;11;41;.259;396;787;.503;240;319;.753;144;284;427;237;94;66;185;216;1065;1987
18;Indiana Pacers*;82;2430;421;893;.472;11;39;.297;410;855;.479;207;265;.782;138;300;439;265;85;38;156;256;1061;1987
19;Washington Bullets*;82;2403;409;902;.454;5;27;.197;404;875;.461;236;309;.765;159;282;441;213;92;84;159;216;1060;1987
20;Chicago Bulls*;82;2418;412;873;.473;10;36;.261;403;836;.482;214;275;.778;152;293;445;261;83;53;153;234;1048;1987
21;Los Angeles Clippers;82;2412;404;894;.452;10;42;.224;394;852;.463;228;307;.742;150;261;411;240;92;53;182;244;1045;1987
22;Cleveland Cavaliers;82;2409;408;869;.470;10;41;.240;399;827;.482;217;311;.697;153;295;448;233;82;68;197;226;1044;1987
23;New York Knicks;82;2412;406;856;.474;15;46;.333;391;811;.482;210;288;.730;135;264;399;237;86;48;173;247;1038;1987
1;Denver Nuggets*;82;2412;460;971;.474;23;69;.342;436;902;.484;225;279;.804;142;298;440;280;101;49;145;242;1167;1988
2;Portland Trail Blazers*;82;2406;446;910;.491;14;46;.308;432;863;.501;254;329;.770;153;304;456;281;89;42;165;255;1161;1988
3;Boston Celtics*;82;2412;439;842;.521;33;86;.384;406;756;.537;225;280;.803;113;298;411;299;76;51;159;220;1136;1988
4;San Antonio Spurs*;82;2415;452;922;.490;16;50;.323;436;872;.500;216;294;.733;144;285;429;286;90;57;173;243;1136;1988
5;Los Angeles Lakers*;82;2415;436;863;.505;17;58;.297;419;805;.520;239;302;.789;131;304;435;286;82;49;161;209;1128;1988
6;Seattle SuperSonics*;82;2421;432;908;.476;27;78;.346;405;830;.488;223;298;.748;160;282;442;262;95;55;168;290;1114;1988
7;Dallas Mavericks*;82;2409;416;877;.475;19;64;.293;397;813;.489;241;306;.789;164;304;468;242;79;54;153;211;1093;1988
8;Detroit Pistons*;82;2412;422;856;.493;7;25;.287;415;831;.499;241;319;.757;144;303;447;245;72;48;164;239;1092;1988
9;Houston Rockets*;82;2400;423;897;.471;8;35;.237;414;861;.481;236;303;.780;151;309;460;236;87;61;167;227;1090;1988
10;Phoenix Suns;82;2406;433;890;.486;14;44;.331;419;847;.494;205;268;.764;136;290;426;284;82;43;172;249;1085;1988
11;Utah Jazz*;82;2403;425;865;.491;16;49;.319;409;816;.502;220;293;.750;130;311;441;294;94;76;181;242;1085;1988
12;Sacramento Kings;82;2412;422;895;.471;18;55;.320;404;840;.481;219;283;.772;150;300;450;258;71;60;178;231;1080;1988
13;Atlanta Hawks*;82;2412;420;866;.485;10;34;.301;410;832;.492;228;298;.767;150;290;440;251;77;65;149;250;1079;1988
14;Golden State Warriors;82;2412;422;903;.468;11;38;.292;411;865;.475;214;269;.796;139;275;414;245;90;35;170;263;1070;1988
15;Milwaukee Bucks*;82;2412;410;863;.475;16;50;.324;394;813;.485;223;288;.775;136;285;421;268;82;46;155;243;1061;1988
16;Philadelphia 76ers;82;2427;392;827;.474;19;57;.323;373;770;.485;255;333;.764;149;281;430;231;82;57;175;228;1057;1988
17;New York Knicks*;82;2415;410;882;.465;22;69;.316;388;813;.478;213;281;.759;157;268;424;245;96;54;185;288;1055;1988
18;Washington Bullets*;82;2424;409;874;.468;4;17;.210;406;857;.473;233;302;.773;150;280;430;229;85;61;169;234;1055;1988
